@relation ChordsWithoutGenre

C, Dm7, G7, A, F, A, C, C
Am, Dm7, D7, G, F, C, G, Am
G, C, Em, F, G, C, Em, F
G, C, Em, F, G, C, Em, F
C, F, G#, C, F, G#, C, C
C, C, C, C, G, G, G, G
F, Fm, G, G, C, C, F, C
Am, G, Am, G, F, Em, F, Em
Am, G, C, F, C, F, Am, F
G, G, G, G, G, G, G, G
C, G, F, F, G, C, G, F
Dm, Em, F, Em, Am, F, Em, Am
Dm, Am, Dm, F7, C, Bm, E7, Dm
C, C, G, F, C, G, F, C
C, F, C7, C7, C7, C7, F, C
C, F, Am, D, F, D7, C, G
Dm7, C, G, F, C, G, Dm7, G7
F, C, G, G, Am, C, G, Dm
Dm, Am, Dm, Am, Dm, Am, Dm, Am
F, F, C, Am, G, F, Dm, C
C, F, Am, F, C, F, C, C7#
G, F, C, Am, G, Dm, Am, C
Am, F, C, Am, F, C, Am, C
Dm, Bb, G, G7, Bb, Dm, Bb, G
Am, Am7, Am, A, Db, Am, A, Am
Em, A, Em, A, Am7, G, F, Am
G, C7, Em, Am, G, C7, Em, F
F, F7, Dm, G, C, G, C, G
Am7, Am, F7, Am, Am, Am7, Am, F7
D, C, D, C, F, Am, C, D
Dm, F, C, G, F, Dm, C, G
C, F, C, Am7, G, D, D, A
C, C, Am7, G, C, G, F, Am7
F, G, G, Em7, G, F, C, G
C, F7, Am, Em, Am, Em, Am, Em
Dm, Dm, Dm7, Dm, F, A7, F7, E#
Em, C7, Em, C#, Am7, F, G, G
Dm, F, G, Bb, C, Dm, F, G
Am, Am, Am, F, E7, Am, Am, Am
C, D#, F, C, D#, F, C, C
C, Dm, Fb, Fm, C, Dm, Fb, Fm
C, Am, G, Dm, Am, Dm, G, C
C, Am, G, Dm, Am, Bb, G, C
C, F, C, C, F, G, C, F
C, G, Am, Dm, F, Am, G, C
C, F, G, F, C, F, G, G
C, F, C, C, F, C, C, F
C, F, C, C, F, C, G, Am
C, F, C, C, F, C, C, F
C, G, Am, F, C, G, Am, F
G, C, F, G, C, F, G, C
Dm, Dm, Dm, A, Dm, A, F, C
Am, C, Am, F, C, C, G#, C
Am, G, Am, G, Am, G, Am, G
C, C, Dm, Dm, Dm, C, C, G
Dm, C, D#, C, D#, Bb, G#, C
Cb, F#, B, E, Gb, Cb, G#, Cm
