'C', 'F', 'Am', 'F', 'C', 'Am', 'D', 'G'
'C', 'Am', 'C', 'Am', 'F', 'G', 'Am', 'G'
'F', 'Am', 'F', 'Am', 'F', 'Am', 'F', 'Am'
'F', 'Am', 'F', 'Am', 'F', 'Am', 'F', 'Am'
'C', 'Em', 'C', 'Em', 'Am', 'F', 'G', 'Am'
'F', 'Am', 'G', 'F', 'Am', 'G', 'Am', 'F'
'F', 'Am', 'G', 'F', 'Am', 'G', 'F', 'Am'
'Am', 'F', 'C', 'G', 'Am', 'F', 'Am', 'F'
'C', 'Am', 'Em', 'G', 'Am', 'Em', 'Am', 'Em'
'C', 'G', 'C', 'G7', 'G7', 'G7', 'C', 'Fb'
'C', 'G7', 'C', 'F', 'C', 'G7', 'C', 'C'
'C', 'G', 'G7', 'C7', 'F', 'F', 'Dm7', 'A#'
'C', 'G', 'G7', 'C', 'F', 'C', 'G', 'G7'
'C', 'G7', 'C', 'F', 'C', 'G7', 'C', 'C'
'C', 'G', 'G7', 'F', 'C', 'F', 'C', 'G'
'C', 'G', 'Am', 'F', 'C', 'G', 'F', 'C'
'C', 'G', 'Am', 'F', 'C', 'G', 'F', 'C'
'Am', 'Am', 'Am', 'Am', 'Em', 'Am', 'F', 'E'
'F', 'C', 'Am', 'G', 'F', 'C', 'Am', 'G'
'G', 'F', 'C', 'Am7', 'G', 'G', 'F', 'C'
'C', 'F', 'F7', 'G', 'F', 'C', 'G', 'F'
'Dm', 'Fb', 'Cb', 'Gm', 'A#', 'Gm', 'A#', 'Fb'
'Am', 'C', 'G', 'Dm', 'Am', 'C', 'G', 'F'
'Am', 'C', 'F', 'C', 'G', 'Am', 'C', 'G'
'Am', 'C', 'F', 'C', 'G', 'Am', 'C', 'G'
'Am', 'C', 'F', 'C', 'C', 'Am', 'C', 'G'
'C', 'C', 'F', 'Dm7', 'F', 'G', 'G', 'C'
'Dm', 'F', 'C', 'G', 'Dm', 'F', 'C', 'G'
'Dm', 'F', 'C', 'G', 'C', 'Dm', 'F', 'C'
'Em', 'G#', 'C#', 'G#', 'Em', 'G#', 'C#', 'G#'
'Am', 'C', 'G', 'F', 'C', 'F', 'G', 'C'
'C', 'G', 'Am7', 'C', 'F', 'Fm', 'C', 'C'
'C', 'Em', 'F', 'Fm', 'G', 'Am', 'B', 'C'
'C', 'Em', 'Am', 'G', 'F', 'F', 'C', 'C'
'D#m', 'F', 'G#', 'G#', 'C#', 'D#m', 'F', 'G#'
'Am', 'G', 'Am', 'G', 'Am', 'G', 'Am', 'G'
'C', 'G', 'Am', 'F', 'Am', 'F', 'C', 'G'
'Dm', 'F', 'Dm', 'F', 'Dm', 'F', 'Am', 'F'
'Dm', 'F', 'Dm', 'F', 'Dm', 'F', 'C', 'F'
'Am', 'C', 'Am', 'C', 'Am', 'C', 'G', 'C'
'Am', 'C', 'Am', 'C', 'Am', 'C', 'C', 'C'
'Dm', 'F', 'Dm', 'F', 'Dm', 'F', 'Am', 'F'
'C', 'Gm', 'A#', 'F', 'C7', 'Dm', 'G#', 'C'
'G', 'G', 'Dm', 'C', 'Am', 'F', 'G', 'Dm'
'Am', 'F', 'G', 'Cm7', 'Em', 'A#', 'C', 'D'
'C', 'G', 'Am', 'Em', 'F', 'C', 'G', 'Am'
'C', 'G', 'Am', 'F', 'C', 'G', 'Am', 'F'
'Dm', 'Am', 'F', 'C', 'F', 'C', 'G', 'Dm'
'Dm', 'Am', 'F', 'C', 'Dm', 'Am', 'F', 'C'
'C', 'G', 'D', 'Em7', 'C', 'G', 'D', 'Em7'
'E#', 'Cb', 'G', 'Am', 'Am', 'G', 'Cb', 'Dm7'
'C', 'G', 'Am', 'F', 'C', 'G', 'Am', 'F'
'C', 'G', 'Am', 'F', 'C', 'G', 'Am', 'F'
'C', 'G', 'Am', 'F', 'C', 'G', 'Am', 'F'
'F', 'G', 'C', 'Am', 'F', 'C', 'G', 'Am'
'Em', 'Fm', 'C', 'Cm', 'Dm', 'Cm', 'A#', 'Cm'
'Dm', 'A#', 'Dm', 'Dm', 'Dm', 'A#', 'Em7', 'Dm'
'C', 'C', 'C', 'Fb', 'C', 'C', 'C', 'Fb'
'Am', 'C', 'Dm', 'F', 'Am', 'C', 'Dm', 'F'
'A', 'Dm', 'Am', 'G', 'E', 'Dm', 'C', 'G'
'Am', 'C', 'Dm', 'G', 'Am', 'F', 'Dm', 'A#'
'C', 'Gm', 'F', 'Em', 'F', 'Em', 'C', 'G'
'Dm', 'G', 'C', 'F', 'C', 'Dm', 'G', 'C'
'Dm', 'G', 'C', 'F', 'F', 'Dm', 'G', 'C'
'Dm', 'G', 'C', 'F', 'F', 'Dm', 'G', 'Dm'
'G', 'F', 'C', 'F', 'G', 'F', 'C', 'F'
'F', 'C', 'Dm', 'C', 'G', 'Am', 'C', 'G'
'Am', 'Dm', 'G7', 'Am', 'Am', 'Dm', 'C', 'G'
'C', 'G', 'F', 'G', 'D', 'C', 'G', 'F'
'C', 'G', 'F', 'G', 'C', 'G', 'F', 'G'
'C', 'G', 'C', 'G', 'G', 'C', 'G', 'G'
'Am', 'F', 'Am', 'F', 'C', 'F', 'E7', 'C'
'C', 'Am', 'Am', 'C', 'Am', 'C', 'F', 'Em'
'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C'
'Dm', 'C', 'Am', 'Em', 'Dm', 'C', 'Dm', 'C'
'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C'
'C', 'G', 'A#', 'F', 'C', 'F', 'G', 'F'
'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C'
'F', 'Am', 'C', 'F', 'Am', 'Am', 'C', 'F'
'G', 'C', 'G', 'G', 'C', 'G', 'G', 'C'
'C', 'C', 'G', 'Am', 'F', 'C', 'G', 'Am'
'Em', 'G', 'C', 'F', 'Em', 'G', 'C', 'G'
'Dm', 'C', 'G', 'Dm', 'C', 'G', 'Dm', 'C'
'F', 'C', 'G', 'Am', 'C', 'Am', 'C', 'Am'
'F7', 'G', 'C', 'C', 'G', 'C', 'B', 'Dm'
'F', 'G', 'C', 'F', 'G', 'C', 'F', 'G'
'F7', 'C', 'C', 'C', 'G', 'E', 'F7', 'C'
'C', 'G', 'Am', 'F', 'C', 'G', 'Am', 'F'
'C', 'F', 'A#', 'D#', 'G', 'C', 'D', 'G'
'Am', 'F', 'C', 'G', 'Am', 'F', 'C', 'G'
'C', 'G#', 'F', 'A#m', 'F', 'A#', 'C', 'G#'
'C', 'F', 'D', 'G', 'C', 'F', 'C', 'F'
'C', 'C', 'F', 'Dm', 'C', 'F', 'G', 'C'
'C', 'Am', 'F', 'G', 'Am', 'G', 'F', 'G'
'F', 'C', 'G', 'F', 'G', 'C', 'G', 'F'
'C', 'G', 'C', 'F', 'F', 'Am', 'G', 'C'
'Am', 'Em', 'Am', 'Em', 'Am', 'F', 'Em', 'Am'
'Am', 'Em', 'Am', 'Am', 'Em', 'Am', 'F', 'G'
'F', 'Dm', 'F', 'Dm', 'C', 'F', 'F', 'Dm'
'C', 'F7', 'C', 'F7', 'C', 'F7', 'Am', 'Em'
'Am', 'F', 'G', 'E#', 'Am', 'F', 'G', 'E#'
'Dm', 'Am', 'Dm', 'Am', 'Dm', 'Am', 'Dm', 'Am'
'G#', 'F', 'G#', 'F', 'G#', 'F', 'G#', 'F'
'Am', 'G', 'F', 'E#', 'Am', 'G', 'F', 'E#'
'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G'
'C', 'F', 'Am', 'F', 'C', 'C', 'F', 'A'
'C', 'F', 'Dm7', 'G', 'C', 'F', 'Dm7', 'G'
'C7', 'G', 'Gm', 'C7', 'Gm', 'C7', 'F', 'F7'
'C', 'F', 'C', 'F', 'C', 'F', 'C', 'G'
'Am', 'F', 'Am', 'F', 'Am', 'F', 'Am', 'F'
'Em7', 'C', 'Em7', 'C', 'Em7', 'C', 'Em7', 'C'
'Am', 'C', 'D', 'C', 'F', 'C', 'D', 'G'
